English Spanish
walk    caminar
run     correr
swim    nadar
fly     volar
read    leer
write   escribir
speak   hablar
listen  escuchar
sing    cantar
dance   bailar
cook    cocinar
eat     comer
drink   beber
sleep   dormir
work    trabajar
study   estudiar
teach   enseñar
learn   aprender
drive   conducir
ride    montar
draw    dibujar
paint   pintar
watch   mirar
see     ver
hear    oír
listen  escuchar
play    jugar
win     ganar
lose    perder
buy     comprar
sell    vender
travel  viajar
arrive  llegar
leave   salir
return  volver
meet    conocer
visit   visitar
help    ayudar
hurt    lastimar
